Judul_Lagu
 shape of you  ed sheeran
 bohemian rhapsody  queen
 billie jean  michael jackson
 hotel california  eagles
 someone like you  adele
 imagine  john lennon
 hey jude  the beatles
 despacito  luis fonsi ft daddy yankee
 like a rolling stone  bob dylan
 havana  camila cabello ft young thug
 uptown funk  mark ronson ft bruno mars
 smells like teen spirit  nirvana
 rolling in the deep  adele
 stairway to heaven  led zeppelin
 thriller  michael jackson
 radioactive  imagine dragons
 wannabe  spice girls
 all of me  john legend
 sweet child o mine  guns n roses
 happy  pharrell williams
 watermelon sugar  harry styles
 i will always love you  whitney houston
 shallow  lady gaga ft bradley cooper
 wonderwall  oasis
 humble  kendrick lamar
 i want to hold your hand  the beatles
 satisfaction  the rolling stones
 let it be  the beatles
 bad romance  lady gaga
 tears in heaven  eric clapton
 black  pearl jam
 say something  justin timberlake ft chris stapleton
 dont stop believin  journey
 dancing queen  abba
 boogie wonderland  earth wind  fire
 my heart will go on  celine dion
 hotline bling  drake
 wrecking ball  miley cyrus
 every breath you take  the police
 cant stop the feeling  justin timberlake
 the sound of silence  simon  garfunkel
 superstition  stevie wonder
 seven nation army  the white stripes
 purple haze  jimi hendrix
 shake it off  taylor swift
 sultans of swing  dire straits
 chandelier  sia
 rocket man  elton john
 lets dance  david bowie
 with or without you  u
 sorry  justin bieber
 clocks  coldplay
 cheap thrills  sia ft sean paul
 livin on a prayer  bon jovi
 sugar  maroon 
 man in the mirror  michael jackson
 sweet caroline  neil diamond
 all star  smash mouth
 hips dont lie  shakira ft wyclef jean
 a thousand years  christina perri
 just the way you are  bruno mars
 bang bang  jessie j ariana grande nicki minaj
 piano man  billy joel
 la bamba  ritchie valens
 fight song  rachel platten
 firework  katy perry
 eye of the tiger  survivor
 counting stars  onerepublic
 perfect  ed sheeran
